Name,Address,City,County,ZipCode,State,Latitude,Longitude,AcuteCareBeds
University of Texas Medical Branch at Galveston,301 University Boulevard,Galveston,Galveston,77555,TX,29.310307,-94.774521,380
Texas Children's Hospital,6621 Fannin St,Houston,Harris,77030,TX,29.709777,-95.400712,648
University of Virginia Medical Center,1215 Lee St, Charlottesville,,22903,VA,38.031968,-78.498589,0
Virginia Commonwealth University Medical Center,401 N 11th St,Richmond,Richmond,23298,VA,37.540634,-77.431112,0
Children’s Hospital of Wisconsin, 620 S 76th St #120,Milwaukee,Milwaukee,53214, WI,39.78373,-100.445882,0
Froedtert & the Medical College of Wisconsin – Froedtert Hospital,1155 N Mayfair Rd,Wauwatosa,Milwaukee,53226,WI,43.04497,-88.047484,0
UW Health – University of Wisconsin Hospital,1675 Highland Ave,Madison,Dane,53792,WI,39.78373,-100.445882,0
MedStar Washington Hospital Center,110 Irving St NW,Washington,District of Columbia,20010,DC,38.929652,-77.015648,0
Children's National Medical Center;,111 Michigan Ave NW,Washington,District of Columbia,20010,DC,38.9273,-77.0147,0
George Washington University Hospital,900 23rd St NW,Washington,District of Columbia,20037,DC,38.901191,-77.05038,0
Harborview Medical Center,325 9th Ave,Seattle,King,98104,WA,47.603968,-122.323953,0
Seattle Children’s Hospital,1900 9th Ave,Seattle,King,98101,WA,47.615978,-122.334478,0
Providence Sacred Heart Medical Center, 101 W 8th Ave,Spokane,Spokane,99204,WA,47.648409,-117.460421,0
West Virginia University Hospital,1 Medical Center Dr,Morgantown,Monongalia,26506,WV,39.651385,-79.959392,0
